NodeID,MessagesSent,MessagesReceived,AvgLatency,ConsensusReached
0,6,8,0.000000,1
1,4,35,0.000000,1
2,4,35,0.000000,1
3,4,35,0.000000,1
4,4,35,0.000000,1
5,4,35,0.000000,1
6,4,35,0.000000,1
7,4,35,0.000000,1
8,4,35,0.000000,1
9,4,35,0.000000,1
10,4,35,0.000000,1
11,4,35,0.000000,1
12,4,35,0.000000,1
13,4,35,0.000000,1
14,4,35,0.000000,1
15,4,35,0.000000,1
16,4,35,0.000000,1
17,4,35,0.000000,1
18,4,35,0.000000,1
19,4,35,0.000000,1
20,4,35,0.000000,1
21,4,35,0.000000,1
22,4,35,0.000000,1
23,4,35,0.000000,1
24,4,35,0.000000,1
25,4,35,0.000000,1
26,4,35,0.000000,1
27,4,35,0.000000,1
28,4,35,0.000000,1
29,4,35,0.000000,1
30,4,35,0.000000,1
31,4,35,0.000000,1
