NodeID,MessagesSent,MessagesReceived,AvgLatency,ConsensusReached
0,6,8,0.000000,1
1,4,65,0.000000,1
2,4,65,0.000000,1
3,4,65,0.000000,1
4,4,65,0.000000,1
5,4,65,0.000000,1
6,4,65,0.000000,1
7,4,65,0.000000,1
8,4,65,0.000000,1
9,4,65,0.000000,1
10,4,65,0.000000,1
11,4,65,0.000000,1
12,4,65,0.000000,1
13,4,65,0.000000,1
14,4,65,0.000000,1
15,4,65,0.000000,1
16,4,65,0.000000,1
17,4,65,0.000000,1
18,4,65,0.000000,1
19,4,65,0.000000,1
20,4,65,0.000000,1
21,4,65,0.000000,1
22,4,65,0.000000,1
23,4,65,0.000000,1
24,4,65,0.000000,1
25,4,65,0.000000,1
26,4,65,0.000000,1
27,4,65,0.000000,1
28,4,65,0.000000,1
29,4,65,0.000000,1
30,4,65,0.000000,1
31,4,65,0.000000,1
